rank,prefix_name,pinyin,number,wade-giles
267,胥,XU,28.5,
268,南,NAN,27.7,
269,班,BAN,27.3,
270,储,CHU,27.2,
271,原,YUAN,27,
272,栗,LI,26.6,
273,燕,YAN,26.4,
274,楚,CHU,26.3,
275,鄢,YAN,26.3,
276,劳,LAO,25.9,
277,谌,CHEN,24.8,
278,奚,XI,23.1,
279,皮,PI,22.9,
280,粟,SU,22.8,
281,冼,XIAN,22.8,
282,蔺,LIN,22.8,
283,楼,LOU,22.8,
284,盘,PAN,22.5,
285,满,MAN,21.9,
286,闻,WEN,21.7,
287,位,WEI,20.8,
289,厉,LI,20.6,
289,伊,YI,20.6,
290,仝,TONG,20,
291,区,OU,19.9,
292,郜,GAO,19.8,
293,海,HAI,19.7,
294,阚,KAN,19.6,
295,花,HUA,19.5,
296,权,QUAN,19.1,
297,强,QIANG,19,
298,帅,SHUAI,19,
299,屠,TU,18.9,
300,豆,DOU,18.8,
301,朴,PIAO,18.7,
302,盖,GAI,18.6,
303,练,LIAN,18.5,
304,廉,LIAN,18.4,
305,禹,YU,18.2,
306,井,JING,17.9,
307,祖,ZU,17.7,
308,漆,QI,17.7,
309,巴,BA,17.7,
310,丰,FENG,17.6,
311,支,ZHI,17.3,
312,卿,QING,17.2,
313,国,GUO,17.1,
314,狄,DI,16.8,
315,平,PING,16.6,
316,计,JI,16.5,
317,索,SUO,16.5,
318,宣,XUAN,16.4,
319,晋,JIN,16.2,
320,相,XIANG,16.2,
321,初,CHU,15.9,
322,门,MEN,15.9,
323,雲,YUN,15.6,
324,容,RONG,15.4,
325,敬,JING,15,
326,来,LAI,14.8,
327,扈,HU,14.7,
328,晁,CHAO,14.6,
329,芮,RUI,14.6,
330,都,DU,14.6,
331,普,PU,14.5,
332,阙,QUE,14.5,
333,浦,PU,14.4,
334,戈,GE,14.4,
335,伏,FU,14.3,
336,鹿,LU,14,
337,薄,BO,14,
338,邸,DI,13.9,
339,雍,YONG,13.9,
340,辜,GU,13.8,
341,羊,YANG,13.6,
342,阿,E,13.6,
343,乌,WU,13.5,
344,母,MU,13.5,
345,裘,QIU,13.4,
346,亓,QI,13.4,
347,修,XIU,13.3,
348,邰,TAI,13,
349,赫,HE,12.8,
350,杭,HANG,12.8,
351,况,KUANG,12.4,
352,那,NA,12.4,
353,宿,SU,12.3,
354,鲜,XIAN,12.2,
355,印,YIN,12.1,
356,逯,LU,12.1,
357,隆,LONG,12,
358,茹,RU,11.9,
359,诸,ZHU,11.8,
360,战,ZHAN,11.7,
361,慕,MU,11.5,
362,危,WEI,11.2,
363,玉,YU,11.2,
364,银,YIN,11.1,
365,亢,KANG,11,
366,嵇,JI,10.9,
367,公,GONG,10.9,
368,哈,HA,10.7,
369,湛,ZHAN,10.5,
370,宾,BIN,10.2,
371,戎,RONG,10.1,
372,勾,GOU,10.1,
373,茅,MAO,10.1,
374,利,LI,10,
375,於,YU,9.9,
376,呼,HU,9.8,
377,居,JU,9.8,
378,揭,JIE,9.6,
379,干,GAN,9.6,
380,但,DAN,9.5,
381,尉,YU,9.5,
382,冶,YE,9.4,
383,斯,SI,9.3,
384,元,YUAN,9.2,
385,束,SHU,9.1,
386,檀,TAN,9,
387,衣,YI,9,
388,信,XIN,8.9,
389,展,ZHAN,8.9,
390,阴,YIN,8.9,
391,昝,ZAN,8.7,
392,智,ZHI,8.7,
393,幸,XING,8.6,
394,奉,FENG,8.5,
395,植,ZHI,8.5,
396,衡,HENG,8.4,
397,富,FU,8.4,
398,尧,YAO,8,
399,闭,BI,8,
400,由,YOU,8,
