"성씨,본관별","행정구역별",2000,2000
"성씨,본관별","행정구역별",가구 (가구),인구 (명)
"계","전국",14326224,45985289
"가(賈)","전국",2824,9090
"간(簡)","전국",753,2429
"갈(葛)","전국",956,3178
"감(甘)","전국",1910,5998
"강(姜)","전국",325288,1044386
"강(康)","전국",34697,109925
"강(彊)","전국",4375,13328
"강(**)","전국",531,1620
"강(剛)","전국",169,546
"강전(岡田)","전국",12,51
"개(介)","전국",29,86
"견(甄)","전국",340,1141
"견(堅)","전국",153,519
"경(慶)","전국",3464,11145
"경(景)","전국",1454,4639
"경(京)","전국",0,1
"계(桂)","전국",1958,6282
"고(高)","전국",135488,435839
"곡(曲)","전국",42,155
"공(孔)","전국",25969,83164
"공(公)","전국",741,2442
"곽(郭)","전국",58396,187322
"교(橋)","전국",15,41
"구(具)","전국",55540,178167
"구(丘)","전국",4137,13241
"구(邱)","전국",282,894
"국(鞠)","전국",5182,16697
"국(國)","전국",669,2182
"국(菊)","전국",123,405
"군(君)","전국",22,46
"궁(弓)","전국",183,562
"궉(**)","전국",74,248
"권(權)","전국",204013,652495
"근(斤)","전국",69,242
"금(琴)","전국",7184,23489
"기(奇)","전국",7541,24385
"기(箕)","전국",684,2294
"길(吉)","전국",10340,32418
"김(金)","전국",3102537,9925949
"나(羅)","전국",53828,172022
"난(欒)","전국",23,80
"남(南)","전국",80239,257178
"남궁(南宮)","전국",5675,18743
"낭(浪)","전국",113,341
"내(奈)","전국",17,63
"내(乃)","전국",114,377
"노(盧)","전국",68776,220354
"노(魯)","전국",20829,67032
"노(路)","전국",973,3048
"뇌(賴)","전국",2,12
"뇌(雷)","전국",26,80
"누(樓)","전국",7,24
"단(段)","전국",437,1429
"단(單)","전국",40,122
"단(端)","전국",9,34
"담(譚)","전국",18,57
"당(唐)","전국",302,1025
"대(大)","전국",194,606
"도(都)","전국",16235,52349
"도(陶)","전국",536,1809
"도(道)","전국",181,621
"독고(獨孤)","전국",257,807
"돈(頓)","전국",38,115
"돈(敦)","전국",3,21
"동(董)","전국",1731,5564
"동방(東方)","전국",70,220
"두(杜)","전국",1755,5750
"두(頭)","전국",70,208
"마(馬)","전국",11076,35096
"마(麻)","전국",300,998
"만(萬)","전국",50,172
"망절(網切)","전국",1,10
"매(梅)","전국",72,222
"맹(孟)","전국",6230,20219
"명(明)","전국",8304,26746
"모(牟)","전국",5838,18955
"모(毛)","전국",272,879
"목(睦)","전국",2493,8191
"묘(苗)","전국",17,61
"묵(墨)","전국",65,179
"문(文)","전국",132811,426927
"미(米)","전국",64,199
"민(閔)","전국",48935,159054
"박(朴)","전국",1215918,3895121
"반(班)","전국",919,2955
"반(潘)","전국",7224,23216
"방(龐)","전국",314,1080
"방(方)","전국",25472,81710
"방(房)","전국",11033,35366
"방(邦)","전국",481,1547
"배(裵)","전국",115900,372064
"백(白)","전국",109677,351275
"범(范)","전국",1010,3316
"범(凡)","전국",40,157
"변(卞)","전국",24539,78685
"변(邊)","전국",16236,52869
"복(卜)","전국",2663,8644
"봉(奉)","전국",3528,11492
"봉(鳳)","전국",101,327
"부(夫)","전국",2984,9470
"부(傅)","전국",35,122
"비(丕)","전국",25,90
"빈(賓)","전국",1142,3704
"빈(彬)","전국",484,1548
"빙(**)","전국",222,726
"빙(氷)","전국",1,1
"사(史)","전국",3047,9756
"사(舍)","전국",72,227
"사(謝)","전국",43,135
"사공(司空)","전국",1360,4307
"삼(森)","전국",13,49
"삼(杉)","전국",1,2
"상(尙)","전국",702,2298
"서(徐)","전국",215412,693954
"서(西)","전국",395,1295
"서문(西門)","전국",554,1861
"석(石)","전국",14282,46066
"석(昔)","전국",2907,9544
"선(宣)","전국",12094,38849
"선우(鮮于)","전국",1103,3560
"설(薛)","전국",11931,38766
"설(**)","전국",1037,3298
"섭(葉)","전국",154,450
"성(成)","전국",57248,184555
"성(星)","전국",265,808
"소(蘇)","전국",12270,39552
"소(邵)","전국",3096,9904
"소봉(小峰)","전국",4,18
"소(肖)","전국",0,1
"손(孫)","전국",129780,415182
"송(宋)","전국",196641,634345
"송(松)","전국",1493,4737
"수(水)","전국",30,124
"수(洙)","전국",24,75
"순(荀)","전국",308,1017
"순(舜)","전국",40,120
"순(淳)","전국",40,121
"순(順)","전국",9,38
"승(承)","전국",762,2494
"승(昇)","전국",239,810
"시(施)","전국",675,2121
"시(柴)","전국",563,1807
"신(申)","전국",217591,698171
"신(辛)","전국",52427,167621
"신(愼)","전국",14232,45764
"심(沈)","전국",78229,252255
"십(**)","전국",28,82
"아(阿)","전국",198,632
"안(安)","전국",197668,637786
"애(艾)","전국",37,123
"야(夜)","전국",62,180
"양(梁)","전국",120534,389152
"양(楊)","전국",29558,93416
"양(樑)","전국",960,3254
"양(襄)","전국",263,823
"어(魚)","전국",5476,17551
"어금(魚金)","전국",21,51
"엄(嚴)","전국",41520,132990
"여(呂)","전국",17498,56692
"여(余)","전국",5741,18146
"여(汝)","전국",119,358
"연(延)","전국",8521,28447
"연(連)","전국",163,532
"연(燕)","전국",1065,3549
"염(廉)","전국",19807,63951
"엽(葉)","전국",40,127
"영(永)","전국",40,132
"영(榮)","전국",26,86
"영(影)","전국",15,41
"예(芮)","전국",3968,12655
"예(乂)","전국",0,1
"오(吳)","전국",219548,706908
"옥(玉)","전국",7288,22964
"온(溫)","전국",1548,5081
"옹(邕)","전국",227,772
"옹(雍)","전국",57,192
"왕(王)","전국",7239,23447
"요(姚)","전국",63,198
"용(龍)","전국",4320,14067
"우(于)","전국",1057,3359
"우(禹)","전국",55256,176682
"우(宇)","전국",1,1
"운(雲)","전국",49,169
"운(芸)","전국",23,68
"원(元)","전국",36712,119356
"원(袁)","전국",343,1104
"원(苑)","전국",2,5
"위(魏)","전국",8908,28675
"위(韋)","전국",600,1821
"유(柳)","전국",186610,603084
"유(兪)","전국",54953,178209
"유(庾)","전국",5292,16802
"유(劉)","전국",75192,242889
"육(陸)","전국",6666,21545
"윤(尹)","전국",294708,948600
"은(殷)","전국",4892,15657
"음(陰)","전국",1802,5936
"이(李)","전국",2113007,6794637
"이(異)","전국",531,1730
"이(伊)","전국",274,860
"인(印)","전국",6389,20635
"임(林)","전국",237145,762767
"임(任)","전국",53637,172726
"자(慈)","전국",48,178
"장(張)","전국",287195,919339
"장(蔣)","전국",5557,17708
"장(章)","전국",1753,5562
"장(莊)","전국",221,648
"장곡(長谷)","전국",17,52
"저(邸)","전국",14,48
"전(全)","전국",153208,493419
"전(田)","전국",58895,188354
"전(錢)","전국",1883,6094
"점(占)","전국",163,516
"정(鄭)","전국",626265,2010117
"정(丁)","전국",58431,187975
"정(程)","전국",10220,32519
"제(諸)","전국",6140,19595
"제(齊)","전국",106,373
"제갈(諸葛)","전국",1354,4444
"조(趙)","전국",306022,984913
"조(曺)","전국",113326,362817
"종(鍾)","전국",263,816
"종(宗)","전국",43,146
"좌(左)","전국",1008,3130
"주(朱)","전국",55180,176232
"주(周)","전국",12018,38778
"준(俊)","전국",20,72
"즙(**)","전국",2,4
"증(增)","전국",1,3
"증(曾)","전국",2,3
"지(池)","전국",43696,140824
"지(智)","전국",2100,6748
"진(陳)","전국",44457,142496
"진(秦)","전국",6636,21167
"진(晋)","전국",1824,5738
"진(眞)","전국",444,1579
"차(車)","전국",56106,180589
"창(昌)","전국",328,1035
"창(倉)","전국",48,144
"채(蔡)","전국",35099,114069
"채(菜)","전국",1067,3516
"채(采)","전국",564,1666
"천(千)","전국",32229,103811
"천(天)","전국",2668,8416
"초(楚)","전국",74,281
"초(肖)","전국",23,70
"초(初)","전국",16,45
"최(崔)","전국",676773,2169704
"추(秋)","전국",17142,54667
"추(鄒)","전국",209,642
"춘(椿)","전국",30,77
"탁(卓)","전국",6023,19395
"탄(彈)","전국",47,155
"태(太)","전국",2546,8165
"판(判)","전국",87,290
"팽(彭)","전국",918,2825
"편(片)","전국",4655,14675
"편(扁)","전국",204,633
"평(平)","전국",189,608
"포(包)","전국",43,129
"표(表)","전국",8896,28398
"풍(馮)","전국",175,586
"피(皮)","전국",1968,6303
"필(弼)","전국",72,251
"하(河)","전국",65965,209756
"하(夏)","전국",1251,4052
"학(**)","전국",31,101
"한(韓)","전국",218821,704365
"한(漢)","전국",3696,11191
"함(咸)","전국",23588,75955
"해(海)","전국",102,322
"허(許)","전국",93490,300448
"현(玄)","전국",25547,81807
"형(邢)","전국",2078,6640
"호(扈)","전국",1322,4228
"호(胡)","전국",522,1668
"호(鎬)","전국",56,210
"홍(洪)","전국",161403,518635
"화(化)","전국",286,945
"환(桓)","전국",59,157
"황(黃)","전국",201121,644294
"황보(皇甫)","전국",2887,9148
"후(后)","전국",10,31
"후(候)","전국",27,83
"흥(興)","전국",141,462
"기타","전국",96,1054
"미상","전국",1156,7900
