Etunimi,Lukumäärä
Alex,"4,390"
Kalevi,"4,371"
Alisa,"4,367"
Marjatta,"4,333"
Eva,"4,329"
Saana,"4,307"
Kasper,"4,304"
Henrik,"4,277"
Viljami,"4,268"
Nelli,"4,249"
Tatu,"4,189"
Benjamin,"4,164"
Soile,"4,154"
Miikka,"4,150"
Vili,"4,133"
Henry,"4,129"
Aimo,"4,115"
Taisto,"4,073"
Johannes,"4,071"
Erik,"4,067"
Jyri,"4,043"
Kristiina,"4,027"
Patrik,"4,009"
Anniina,"4,000"
Katariina,"3,973"
Martta,"3,963"
Saku,"3,941"
Minttu,"3,907"
Lenni,"3,896"
Tarmo,"3,889"
Karl,"3,885"
Tapani,"3,885"
Matilda,"3,851"
Reetta,"3,838"
Aarne,"3,829"
Sakari,"3,829"
Hannele,"3,827"
Oiva,"3,813"
Tom,"3,803"
Yrjö,"3,768"
Nella,"3,750"
Alina,"3,745"
Viljo,"3,733"
Mauno,"3,729"
Hugo,"3,719"
Saija,"3,709"
Asta,"3,697"
Eelis,"3,684"
Salme,"3,659"
Noel,"3,644"
Sauli,"3,616"
Kristian,"3,611"
Auli,"3,611"
Hilla,"3,598"
Ilpo,"3,593"
Aili,"3,560"
Maiju,"3,536"
Jessica,"3,528"
Helvi,"3,526"
Otso,"3,521"
Heini,"3,466"
Rami,"3,457"
Ahti,"3,456"
Aaron,"3,441"
Luka,"3,432"
Armi,"3,418"
Topias,"3,414"
Maija-Liisa,"3,409"
Tuuli,"3,404"
Sirkka-Liisa,"3,378"
Meeri,"3,375"
Elvi,"3,370"
Miska,"3,351"
Iiro,"3,335"
Meri,"3,326"
Veli-Matti,"3,319"
Kaj,"3,314"
Minea,"3,313"
Kaarlo,"3,309"
Jonne,"3,301"
Peter,"3,299"
Sebastian,"3,287"
Mila,"3,265"
Erika,"3,247"
Aira,"3,243"
Lars,"3,236"
Laila,"3,236"
Neea,"3,192"
Kaisu,"3,187"
Nooa,"3,179"
Rauni,"3,167"
Pyry,"3,160"
Camilla,"3,159"
Jami,"3,154"
Toini,"3,153"
Pauliina,"3,127"
Juha-Pekka,"3,111"
Alpo,"3,099"
Sampo,"3,091"
Isla,"3,084"
Alexander,"3,045"
Elena,"3,040"
Eira,"3,026"
Alma,"3,012"
Robert,"2,987"
Arvo,"2,947"
Nico,"2,934"
Unto,"2,919"
Mirva,"2,905"
Jukka-Pekka,"2,886"
Janina,"2,883"
Karoliina,"2,867"
Viola,"2,867"
Kyösti,"2,865"
Aava,"2,853"
Urho,"2,837"
Sirkku,"2,817"
Olga,"2,815"
Taimi,"2,795"
Carita,"2,771"
Luukas,"2,756"
Ada,"2,743"
Peppi,"2,742"
Aatos,"2,729"
Tony,"2,720"
Lumi,"2,708"
Robin,"2,703"
Thomas,"2,703"
Senja,"2,698"
Miko,"2,672"
Peetu,"2,668"
Teppo,"2,661"
Irina,"2,660"
Stella,"2,656"
Jasper,"2,614"
Jutta,"2,610"
Lucas,"2,605"
Kaarina,"2,592"
Aku,"2,585"
Hans,"2,576"
Eeva-Liisa,"2,576"
Heimo,"2,570"
Anna-Maija,"2,560"
Petteri,"2,558"
Santtu,"2,554"
Sulo,"2,544"
Ilari,"2,539"
Hilma,"2,538"
Alvar,"2,528"
Soili,"2,523"
Oili,"2,497"
Lukas,"2,493"
Tomas,"2,489"
Saga,"2,484"
Veikka,"2,483"
Elmeri,"2,477"
Netta,"2,471"
Hilda,"2,442"
Irene,"2,432"
Aulis,"2,399"
Aarni,"2,383"
Saimi,"2,373"
Sylvi,"2,373"
Leif,"2,368"
Panu,"2,365"
Perttu,"2,358"
Birgitta,"2,354"
